price,propertyType,operation,size,rooms,bathrooms,municipality,district,neighborhood,latitude,longitude,status,newDevelopment,parkingSpace,priceByArea,floor,hasLift
180000,flat,sale,83.0,3.0,1.0,Málaga,Centro,Conde de Ureña,36.7318662,-4.4119327,good,False,,2169.0,4,0.0
109000,flat,sale,58.0,2.0,1.0,Málaga,Ciudad Jardín,Ciudad Jardín,36.7418629,-4.4236269,good,False,,1879.0,3,1.0
360000,penthouse,sale,168.0,2.0,2.0,Málaga,Cruz de Humilladero,Santa Cristina - San Rafael,36.7108451,-4.4541232,good,False,,2143.0,6,1.0
380000,flat,sale,86.0,3.0,1.0,Málaga,Centro,La Goleta - San Felipe Neri,36.7268764,-4.4246148,good,False,,4419.0,4,1.0
220000,flat,sale,56.0,2.0,1.0,Málaga,Bailén - Miraflores,Suárez,36.7262109,-4.437018,good,False,,3929.0,7,1.0
499900,flat,sale,111.0,3.0,2.0,Málaga,Este,Malagueta - Monte Sancha,36.7199032,-4.4070999,renew,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",4504.0,bj,1.0
217600,flat,sale,62.0,1.0,1.0,Málaga,Centro,La Trinidad,36.7228901,-4.4302347,good,False,,3510.0,1,1.0
1868000,chalet,sale,505.0,6.0,5.0,Málaga,Este,Cerrado de Calderón - Hacienda Paredes,36.7318428,-4.378884,good,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",3699.0,,
339000,flat,sale,125.0,3.0,1.0,Málaga,Cruz de Humilladero,Cruz del Humilladero - Los Tilos,36.7116776,-4.4359107,good,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",2712.0,,1.0
319990,flat,sale,91.0,3.0,1.0,Málaga,Carretera de Cádiz,Puerta Blanca - Almudena,36.6910515,-4.4550303,good,False,,3516.0,14,1.0
780000,flat,sale,116.0,2.0,2.0,Málaga,Este,Parque Clavero,36.7263349,-4.3877513,good,False,,6724.0,3,0.0
1650000,chalet,sale,330.0,5.0,4.0,Málaga,Este,Cerrado de Calderón - Hacienda Paredes,36.7303562,-4.3860641,good,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",5000.0,,
2300000,chalet,sale,487.0,5.0,4.0,Málaga,Este,Pinares de San Antón,36.7378573,-4.3582572,good,False,,4723.0,,
139000,flat,sale,55.0,2.0,1.0,Málaga,Bailén - Miraflores,Suárez,36.7267306,-4.4435792,renew,False,,2527.0,5,0.0
785000,flat,sale,127.0,3.0,2.0,Málaga,Este,Limonar,36.73697,-4.39279,newdevelopment,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",6181.0,bj,1.0
200000,flat,sale,46.0,1.0,1.0,Málaga,Cruz de Humilladero,Carranque - Haza Cuevas,36.7194903,-4.4462273,good,False,,4348.0,1,1.0
240000,flat,sale,73.0,3.0,1.0,Málaga,Carretera de Cádiz,La Luz,36.6933459,-4.451108,good,False,,3288.0,8,1.0
320000,flat,sale,98.0,2.0,2.0,Málaga,Cruz de Humilladero,Carranque - Haza Cuevas,36.7210987,-4.4476015,good,False,,3265.0,3,1.0
450000,flat,sale,95.0,3.0,2.0,Málaga,Teatinos,El Consul - El Romeral,36.7224715,-4.4700929,good,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",4737.0,2,1.0
1190000,chalet,sale,258.0,5.0,3.0,Málaga,Este,El Candado,36.7212062,-4.3475412,good,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",4612.0,,
275000,flat,sale,80.0,3.0,1.0,Málaga,Carretera de Cádiz,El Torcal,36.7011645,-4.4473038,good,False,,3438.0,5,1.0
198000,flat,sale,44.0,2.0,1.0,Málaga,Cruz de Humilladero,Carranque - Haza Cuevas,36.7212523,-4.4350924,good,False,,4500.0,bj,0.0
169000,flat,sale,52.0,1.0,1.0,Málaga,Bailén - Miraflores,Victoria Eugenia,36.7279463,-4.4356881999999995,good,False,,3250.0,2,1.0
125000,studio,sale,41.0,0.0,1.0,Málaga,Bailén - Miraflores,Victoria Eugenia,36.732575,-4.4393639,good,False,,3049.0,bj,0.0
890000,penthouse,sale,122.0,1.0,1.0,Málaga,Centro,Centro Histórico,36.7194762,-4.4230834,good,False,,7295.0,4,1.0
440000,flat,sale,89.0,2.0,2.0,Málaga,Centro,Perchel sur - El Bulto,36.7157645,-4.4306234,good,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",4944.0,1,1.0
1500000,flat,sale,120.0,3.0,3.0,Málaga,Centro,Centro Histórico,36.7209197,-4.4218626,good,False,,12500.0,3,1.0
