price,propertyType,operation,size,rooms,bathrooms,municipality,district,neighborhood,latitude,longitude,status,newDevelopment,priceByArea,detailedType,floor,hasLift,hasParkingSpace,isParkingSpaceIncludedInPrice
255000,duplex,sale,95.0,2.0,2.0,Mijas,Mijas Pueblo,Mijas Pueblo,36.5975244,-4.6373419,good,False,2684.0,duplex,1.0,0,False,False
2240200,chalet,sale,551.0,6.0,6.0,Marbella,Nueva Andalucía,Los Naranjos,36.5214359,-4.9719607,good,False,4066.0,independantHouse,0.0,0,True,True
629000,chalet,sale,258.0,3.0,3.0,Alhaurín de la Torre,Capellanía - Retamar,Capellanía - Retamar,36.6693871,-4.5334588,newdevelopment,True,2438.0,semidetachedHouse,0.0,0,True,True
2250000,chalet,sale,506.0,5.0,5.0,Marbella,Rio Real-Los Monteros,Rio Real,36.5178854,-4.8522553,good,False,4447.0,terracedHouse,0.0,0,True,True
298000,flat,sale,91.0,4.0,2.0,Málaga,Centro,La Trinidad,36.7220163,-4.4304117,good,False,3275.0,flat,4.0,0,False,False
1195000,flat,sale,212.0,3.0,3.0,Marbella,Marbella Pueblo,Ricardo Soriano,36.509067,-4.8918509,good,False,5637.0,flat,2.0,0,False,False
415000,chalet,sale,161.0,3.0,2.0,Almayate Bajo,Vélez-Málaga,Cortijo del Peñón,36.7374962,-4.1180541,good,False,2578.0,independantHouse,0.0,0,False,False
475000,flat,sale,119.0,2.0,2.0,Estepona,Benamara - Atalaya,Cancelada,36.4656163,-5.049443,good,False,3992.0,flat,1.0,0,False,False
695000,penthouse,sale,157.0,4.0,4.0,Marbella,Nagüeles-Milla de Oro,Nagüeles,36.5148977,-4.9227365,good,False,4427.0,penthouse,2.0,0,False,False
695000,flat,sale,130.0,2.0,2.0,Marbella,Nagüeles-Milla de Oro,La Carolina-Guadalpín,36.509481,-4.9159059,good,False,5346.0,flat,0.0,0,False,False
265000,flat,sale,73.0,1.0,1.0,Mijas,Las Lagunas,Las Flores,36.5360856,-4.6407924,newdevelopment,True,3630.0,flat,2.0,1,True,True
330000,penthouse,sale,130.0,2.0,2.0,Rincón de la Victoria,Lo Cea - Los Cortijos,Lo Cea - Los Cortijos,36.7362012,-4.2599074,newdevelopment,True,2538.0,penthouse,2.0,1,True,True
360000,penthouse,sale,175.0,2.0,2.0,Rincón de la Victoria,Lo Cea - Los Cortijos,Lo Cea - Los Cortijos,36.7362012,-4.2599074,newdevelopment,True,2057.0,penthouse,2.0,1,True,True
1800000,chalet,sale,590.0,3.0,4.0,Estepona,Costa Natura,Valle Romano Golf,36.4270844,-5.1936695,good,False,3051.0,independantHouse,0.0,0,False,False
1080000,flat,sale,219.0,2.0,2.0,Marbella,Nagüeles-Milla de Oro,Sierra Blanca,36.5172117,-4.9114249,good,False,4932.0,flat,0.0,0,False,False
495000,chalet,sale,249.0,3.0,3.0,Rincón de la Victoria,Añoreta baja,Conjunta Rubimar,36.7155593,-4.2402232,newdevelopment,True,1988.0,terracedHouse,0.0,0,True,True
525000,chalet,sale,249.0,3.0,3.0,Rincón de la Victoria,Añoreta baja,Conjunta Rubimar,36.7155593,-4.2402232,newdevelopment,True,2108.0,terracedHouse,0.0,0,True,True
540000,chalet,sale,246.0,3.0,3.0,Rincón de la Victoria,Añoreta baja,Conjunta Rubimar,36.7155593,-4.2402232,newdevelopment,True,2195.0,terracedHouse,0.0,0,True,True
450000,flat,sale,133.0,3.0,2.0,Mijas,Las Lagunas,Las Flores,36.5360856,-4.6407924,newdevelopment,True,3383.0,flat,0.0,1,True,True
265000,penthouse,sale,124.0,1.0,1.0,Rincón de la Victoria,Lo Cea - Los Cortijos,Lo Cea - Los Cortijos,36.7362012,-4.2599074,newdevelopment,True,2137.0,penthouse,2.0,1,True,True
834640,penthouse,sale,177.0,2.0,2.0,Fuengirola,Los Boliches,La Calerita,36.55588,-4.62603,newdevelopment,True,4715.0,penthouse,7.0,1,True,True
336000,flat,sale,72.0,2.0,2.0,Torre del Mar,Poniente-Faro,Poniente-Faro,36.732676,-4.1029195,newdevelopment,True,4667.0,flat,1.0,1,True,True
135000,studio,sale,32.0,0.0,1.0,Torrox,Centro Internacional,Centro Internacional,36.7289575,-3.9575891,good,False,4219.0,studio,2.0,0,False,False
382000,flat,sale,89.0,3.0,2.0,Torre del Mar,Poniente-Faro,Poniente-Faro,36.732676,-4.1029195,newdevelopment,True,4292.0,flat,2.0,1,True,True
385000,flat,sale,100.0,2.0,2.0,Fuengirola,Los Boliches,La Calerita,36.55588,-4.62603,newdevelopment,True,3850.0,flat,4.0,1,True,True
2300000,duplex,sale,295.0,3.0,4.0,Marbella,Nagüeles-Milla de Oro,Lomas de Marbella Club,36.5131219,-4.9371592,good,False,7797.0,duplex,3.0,0,False,False
352000,flat,sale,77.0,2.0,2.0,Torre del Mar,Poniente-Faro,Poniente-Faro,36.732676,-4.1029195,newdevelopment,True,4571.0,flat,2.0,1,True,True
350000,flat,sale,83.0,1.0,1.0,Torremolinos,Playamar,Playamar - Benyamina,36.6360108,-4.4925601,good,False,4217.0,flat,0.0,0,False,False
2250000,chalet,sale,276.0,4.0,4.0,Marbella,Rio Real-Los Monteros,Rio Real,36.5191233,-4.8507351,good,False,8152.0,independantHouse,0.0,0,True,True
1480000,chalet,sale,377.0,4.0,4.0,Marbella,Las Chapas-El Rosario,El Rosario-Ricmar,36.5049055,-4.8026246,good,False,3926.0,independantHouse,0.0,0,True,True
2150000,chalet,sale,198.0,3.0,2.0,Marbella,Elviria-Cabopino,Marbesa,36.4893256,-4.7557315,good,False,10859.0,independantHouse,0.0,0,False,False
1950000,chalet,sale,143.0,4.0,3.0,Marbella,Las Chapas-El Rosario,Las Chapas-Alicate Playa,36.5003812,-4.8154504,good,False,13636.0,semidetachedHouse,0.0,0,True,True
2245000,chalet,sale,531.0,5.0,6.0,Marbella,Las Chapas-El Rosario,Las Chapas-Alicate Playa,36.5013991,-4.8104666,good,False,4228.0,independantHouse,0.0,0,True,True
516450,penthouse,sale,99.0,2.0,2.0,Mijas,La Cala de Mijas,La Cala de Mijas,36.5093906,-4.6982577,good,False,5217.0,penthouse,3.0,0,True,True
725000,flat,sale,127.0,3.0,3.0,Málaga,Carretera de Cádiz,Pacífico,36.681168,-4.4505815,newdevelopment,True,5709.0,flat,1.0,1,True,True
1190000,chalet,sale,207.0,3.0,4.0,Marbella,Rio Real-Los Monteros,Bahía de Marbella,36.5023737,-4.8306296,good,False,5749.0,terracedHouse,0.0,0,True,True
799000,flat,sale,271.0,3.0,3.0,Marbella,Las Chapas-El Rosario,Las Chapas-Alicate Playa,36.5033704,-4.8182799,good,False,2948.0,flat,3.0,0,False,False
486850,penthouse,sale,99.0,2.0,2.0,Mijas,La Cala de Mijas,La Cala de Mijas,36.5091946,-4.7026142,good,False,4918.0,penthouse,3.0,0,True,True
2290000,chalet,sale,505.0,5.0,5.0,Marbella,Elviria-Cabopino,Santa María,36.5053466,-4.7748602,good,False,4535.0,independantHouse,0.0,0,True,True
449700,flat,sale,129.0,2.0,2.0,Mijas,La Cala Golf - Lagar Martell,Harmony,36.5351983,-4.7152851,newdevelopment,True,3486.0,flat,1.0,1,True,True
599000,chalet,sale,250.0,3.0,1.0,Estepona,Estepona Pueblo,Centro,36.4266816,-5.1505385,renew,False,2396.0,chalet,0.0,0,True,True
2195000,chalet,sale,575.0,6.0,7.0,Marbella,Rio Real-Los Monteros,Rio Real,36.5156597,-4.8497745,good,False,3817.0,semidetachedHouse,0.0,0,True,True
990000,penthouse,sale,301.0,3.0,3.0,Marbella,Rio Real-Los Monteros,Alto de los Monteros,36.5328398,-4.8322713,good,False,3289.0,penthouse,2.0,0,False,False
419000,flat,sale,80.0,2.0,2.0,Málaga,Centro,La Goleta - San Felipe Neri,36.724048,-4.4254243,good,False,5238.0,flat,4.0,0,True,True
461000,chalet,sale,110.0,3.0,3.0,Fuengirola,Torreblanca,Torreblanca,36.5734103,-4.6099279,newdevelopment,True,4191.0,terracedHouse,0.0,0,True,True
340000,chalet,sale,180.0,2.0,2.0,Mijas,Hipódromo-Cerrado del Águila,Hipódromo-Cerrado del Águila,36.519556,-4.6502207,renew,False,1889.0,terracedHouse,0.0,0,True,True
310000,flat,sale,95.0,3.0,1.0,Benalmádena,Arroyo de la Miel,Arroyo de la Miel,36.597218,-4.5370439000000005,good,False,3263.0,flat,8.0,1,False,False
609990,chalet,sale,168.0,4.0,2.0,Alhaurín de la Torre,Manantiales - Lagar - Cortijo,Manantiales - Lagar - Cortijo,36.6610387,-4.5438685,good,False,3631.0,independantHouse,0.0,0,True,True
528200,chalet,sale,122.0,4.0,3.0,Alhaurín de la Torre,Manantiales - Lagar - Cortijo,Manantiales - Lagar - Cortijo,36.658028,-4.5487455,good,False,4330.0,independantHouse,0.0,0,True,True
244990,flat,sale,64.0,3.0,1.0,Alhaurín de la Torre,Platero - El Limón,Platero - El Limón,36.6572633,-4.5686128,good,False,3828.0,flat,1.0,0,True,True
699000,chalet,sale,170.0,3.0,3.0,Mijas,La Cala Golf - Lagar Martell,Urbanizacion Lagar Martell,36.5271294,-4.6870549,newdevelopment,True,4112.0,semidetachedHouse,0.0,0,True,True
310000,flat,sale,124.0,3.0,2.0,Benalmádena,Arroyo de la Miel,Arroyo de la Miel,36.6083861,-4.5386264,good,False,2500.0,flat,1.0,0,True,True
527500,chalet,sale,264.0,3.0,3.0,Estepona,Benamara - Atalaya,Nueva Atalaya,36.4757128,-5.0203811,good,False,1998.0,terracedHouse,0.0,0,True,True
255000,penthouse,sale,102.0,3.0,2.0,Mijas,Las Lagunas,Las Cañadas,36.5498685,-4.6371653,good,False,2500.0,penthouse,3.0,0,True,True
880000,duplex,sale,109.0,2.0,2.0,Málaga,Este,Malagueta - Monte Sancha,36.722049,-4.4032754,newdevelopment,True,8073.0,duplex,0.0,1,False,False
2350000,chalet,sale,400.0,4.0,5.0,Benahavís,El Paraíso,Urbanisacion El Paraiso Alto,36.4854753,-5.0346593,good,False,5875.0,independantHouse,0.0,0,True,True
1095000,chalet,sale,276.0,5.0,4.0,Marbella,Rio Real-Los Monteros,Bahía de Marbella,36.5047369,-4.8388975,good,False,3967.0,terracedHouse,0.0,0,True,True
420000,duplex,sale,118.0,3.0,3.0,Fuengirola,Torreblanca,Torreblanca,36.5724474,-4.6035214,good,False,3559.0,duplex,2.0,0,True,True
625000,chalet,sale,124.0,3.0,3.0,Estepona,Altos de Estepona,Altos de Estepona,36.4595723,-5.1268815,good,False,5040.0,independantHouse,0.0,0,True,True
629000,countryHouse,sale,263.0,5.0,3.0,Coin,Coín,Urbanización Los Alijares,36.6604959,-4.7583509,good,False,2392.0,casale,0.0,0,True,True
