propertyCode,price,priceInfo,propertyType,operation,size,rooms,bathrooms,province,municipality,district,country,neighborhood,latitude,longitude,status,newDevelopment,priceByArea,floor,hasLift,hasParkingSpace
102309260,2900,€/mes,penthouse,rent,130.0,3.0,2.0,Málaga,Málaga,Centro,es,Ensanche Centro - Soho,36.7142067,-4.4251781,good,False,22.0,10,1.0,False
108022294,1300,€/mes,flat,rent,90.0,3.0,2.0,Málaga,Málaga,Teatinos,es,El Consul - El Romeral,36.7223064,-4.4769758,good,False,14.0,2,1.0,True
103178537,11760,€/mes,chalet,rent,470.0,6.0,6.0,Málaga,Málaga,Este,es,El Candado,36.7167423,-4.3463777,good,False,25.0,0,0.0,True
107104399,1620,€/mes,flat,rent,104.0,1.0,1.0,Málaga,Málaga,Martiricos - La Roca,es,Martiricos - La Roca,36.7311928,-4.4267533,good,False,16.0,17,1.0,False
107914948,1400,€/mes,flat,rent,84.0,3.0,2.0,Málaga,Málaga,Bailén - Miraflores,es,La Florida - Parque norte,36.7236618,-4.4442175,good,False,17.0,10,1.0,False
107722502,1200,€/mes,flat,rent,117.0,2.0,2.0,Málaga,Málaga,Bailén - Miraflores,es,Los Castillejos - La Trinidad,36.7223711,-4.4325006,good,False,10.0,6,1.0,True
103471909,3400,€/mes,flat,rent,170.0,4.0,3.0,Málaga,Málaga,Este,es,Malagueta - Monte Sancha,36.7194819,-4.4132364,good,False,20.0,7,1.0,False
107738636,1300,€/mes,flat,rent,97.0,3.0,1.0,Málaga,Málaga,Cruz de Humilladero,es,Carranque - Haza Cuevas,36.7154771,-4.4424729,good,False,13.0,3,1.0,False
107279939,2565,€/mes,flat,rent,74.0,2.0,2.0,Málaga,Málaga,Centro,es,Perchel norte,36.720573,-4.4316195,good,False,35.0,5,1.0,False
107915087,1500,€/mes,flat,rent,84.0,5.0,2.0,Málaga,Málaga,Cruz de Humilladero,es,Cruz del Humilladero - Los Tilos,36.7100122,-4.4420415,good,False,18.0,5,0.0,False
107704756,2800,€/mes,flat,rent,181.0,3.0,2.0,Málaga,Málaga,Este,es,Limonar,36.7235657,-4.396566,good,False,15.0,1,1.0,True
107800220,1750,€/mes,flat,rent,111.0,3.0,2.0,Málaga,Málaga,Carretera de Cádiz,es,Pacífico,36.6908166,-4.4420067,good,False,16.0,3,1.0,True
107971981,1025,€/mes,flat,rent,58.0,3.0,1.0,Málaga,Málaga,Carretera de Cádiz,es,Nuevo San Andrés - Dos Hermanas,36.7012665,-4.4499905,good,False,18.0,0,1.0,False
99350964,875,€/mes,penthouse,rent,30.0,0.0,1.0,Málaga,Málaga,Centro,es,Centro Histórico,36.7230984,-4.4208284,good,False,29.0,4,1.0,False
107148546,8000,€/mes,flat,rent,159.0,3.0,2.0,Málaga,Málaga,Carretera de Cádiz,es,Pacífico,36.6845121,-4.4459862,good,False,50.0,15,1.0,True
108069831,1500,€/mes,flat,rent,112.0,2.0,2.0,Málaga,Málaga,Puerto de la Torre,es,El Atabal,36.7296573,-4.4633976,good,False,13.0,3,1.0,True
105215727,1480,€/mes,flat,rent,75.0,2.0,2.0,Málaga,Málaga,Carretera de Cádiz,es,Finca el Pato - Torre del Río,36.6828109,-4.4545254,good,False,20.0,2,1.0,True
107750970,1950,€/mes,flat,rent,115.0,3.0,2.0,Málaga,Málaga,Centro,es,Ensanche Centro - Soho,36.7143488,-4.4232021,good,False,17.0,1,1.0,False
104403027,3850,€/mes,flat,rent,70.0,2.0,2.0,Málaga,Málaga,Martiricos - La Roca,es,Martiricos - La Roca,36.7316216,-4.4251362,good,False,55.0,17,1.0,True
107176192,995,€/mes,flat,rent,66.0,3.0,1.0,Málaga,Málaga,Ciudad Jardín,es,Ciudad Jardín,36.7449003,-4.4254102,good,False,15.0,3,0.0,False
106524327,1199,€/mes,flat,rent,45.0,1.0,1.0,Málaga,Málaga,Centro,es,Centro Histórico,36.7205144,-4.4223534,good,False,27.0,4,1.0,False
107689352,1400,€/mes,flat,rent,84.0,3.0,2.0,Málaga,Málaga,Bailén - Miraflores,es,La Florida - Parque norte,36.7249457,-4.4450493,good,False,17.0,10,1.0,False
107632818,1050,€/mes,flat,rent,80.0,3.0,1.0,Málaga,Málaga,Carretera de Cádiz,es,Nuevo San Andrés - Dos Hermanas,36.7000592,-4.4517701,good,False,13.0,1,1.0,False
107736255,2400,€/mes,flat,rent,180.0,3.0,2.0,Málaga,Málaga,Cruz de Humilladero,es,Carranque - Haza Cuevas,36.715335,-4.439626,good,False,13.0,13,1.0,True
106648218,1000,€/mes,flat,rent,67.0,3.0,1.0,Málaga,Málaga,Este,es,El Palo,36.7191941,-4.3558151,good,False,15.0,1,1.0,False
107832610,1350,€/mes,flat,rent,75.0,1.0,1.0,Málaga,Málaga,Centro,es,Centro Histórico,36.7225608,-4.4252241,good,False,18.0,1,1.0,False
107231670,900,€/mes,flat,rent,48.0,2.0,1.0,Málaga,Málaga,Centro,es,El Molinillo - Capuchinos,36.7270429,-4.4232348,good,False,19.0,2,1.0,False
107748694,1080,€/mes,flat,rent,77.0,3.0,1.0,Málaga,Málaga,Carretera de Cádiz,es,Nuevo San Andrés - Dos Hermanas,36.7025375,-4.4501958,good,False,14.0,2,1.0,False
107544925,1550,€/mes,flat,rent,70.0,1.0,1.0,Málaga,Málaga,Centro,es,Centro Histórico,36.7218784,-4.4204301,good,False,22.0,2,1.0,False
107763631,1020,€/mes,flat,rent,60.0,3.0,1.0,Málaga,Málaga,Ciudad Jardín,es,Ciudad Jardín,36.7472941,-4.4233602,good,False,17.0,2,0.0,False
107319765,990,€/mes,flat,rent,70.0,3.0,1.0,Málaga,Málaga,Bailén - Miraflores,es,Victoria Eugenia,36.730869,-4.442925,good,False,14.0,1,0.0,False
107189742,1050,€/mes,flat,rent,60.0,2.0,1.0,Málaga,Málaga,Centro,es,Olletas - Sierra Blanquilla,36.7285618,-4.411207,good,False,18.0,1,0.0,False
108077263,1200,€/mes,flat,rent,38.0,1.0,1.0,Málaga,Málaga,Centro,es,La Victoria,36.7252371,-4.4125872,good,False,32.0,4,1.0,False
107322385,1900,€/mes,flat,rent,65.0,2.0,2.0,Málaga,Málaga,Martiricos - La Roca,es,Martiricos - La Roca,36.732021,-4.427974,good,False,29.0,25,1.0,True
108052506,1900,€/mes,flat,rent,52.0,1.0,1.0,Málaga,Málaga,Martiricos - La Roca,es,Martiricos - La Roca,36.7301979,-4.4269682,good,False,37.0,28,1.0,True
101663887,3900,€/mes,flat,rent,101.0,2.0,2.0,Málaga,Málaga,Este,es,Limonar,36.736603,-4.4033497,good,False,39.0,1,1.0,True
107224057,1900,€/mes,flat,rent,66.0,2.0,2.0,Málaga,Málaga,Martiricos - La Roca,es,Martiricos - La Roca,36.7308009,-4.4280885,good,False,29.0,26,1.0,True
107395868,1000,€/mes,flat,rent,70.0,2.0,1.0,Málaga,Málaga,Centro,es,Centro Histórico,36.7222039,-4.4205477,good,False,14.0,3,1.0,False
102279780,4300,€/mes,penthouse,rent,310.0,4.0,2.0,Málaga,Málaga,Este,es,Limonar,36.7237161,-4.3936849,good,False,14.0,5,1.0,True
107611697,1245,€/mes,flat,rent,78.0,2.0,1.0,Málaga,Málaga,Centro,es,Centro Histórico,36.7188418,-4.4207793,good,False,16.0,3,1.0,True
106291847,1650,€/mes,flat,rent,61.0,1.0,1.0,Málaga,Málaga,Martiricos - La Roca,es,Martiricos - La Roca,36.7301913,-4.4257183,good,False,27.0,22,1.0,True
107277850,1850,€/mes,flat,rent,57.0,1.0,1.0,Málaga,Málaga,Martiricos - La Roca,es,Martiricos - La Roca,36.7311928,-4.4267533,good,False,32.0,27,1.0,True
89807667,1450,€/mes,flat,rent,82.0,2.0,2.0,Málaga,Málaga,Carretera de Cádiz,es,Pacífico,36.6952355,-4.4402069,good,False,18.0,4,1.0,True
106977812,2500,€/mes,flat,rent,148.0,4.0,3.0,Málaga,Málaga,Este,es,Malagueta - Monte Sancha,36.7214556,-4.3986924,good,False,17.0,1,1.0,True
107841606,1500,€/mes,flat,rent,122.0,2.0,2.0,Málaga,Málaga,Centro,es,El Ejido,36.7287434,-4.4218377,good,False,12.0,4,1.0,True
91463549,1500,€/mes,flat,rent,100.0,2.0,1.0,Málaga,Málaga,Carretera de Cádiz,es,Puerta Blanca - Almudena,36.6857982,-4.448557,good,False,15.0,1,1.0,True
107442506,1400,€/mes,flat,rent,84.0,2.0,1.0,Málaga,Málaga,Centro,es,Ensanche Centro - Soho,36.7133071,-4.4246296,good,False,17.0,3,1.0,True
107808428,2400,€/mes,flat,rent,150.0,3.0,2.0,Málaga,Málaga,Martiricos - La Roca,es,Martiricos - La Roca,36.7290412,-4.4278551,good,False,16.0,11,1.0,True
106990392,2000,€/mes,flat,rent,90.0,3.0,2.0,Málaga,Málaga,Este,es,Pedregalejo - Morlaco,36.7227722,-4.3790039,good,False,22.0,1,1.0,True
102273438,1050,€/mes,flat,rent,75.0,2.0,1.0,Málaga,Málaga,Centro,es,El Molinillo - Capuchinos,36.7308731,-4.4223871,good,False,14.0,2,0.0,False
95889501,1200,€/mes,penthouse,rent,70.0,1.0,1.0,Málaga,Málaga,Cruz de Humilladero,es,Camino de Antequera,36.7244266,-4.4527416,good,False,17.0,4,1.0,True
103330569,1300,€/mes,flat,rent,95.0,3.0,1.0,Málaga,Málaga,Centro,es,El Molinillo - Capuchinos,36.7321292,-4.4231349,good,False,14.0,3,1.0,False
107358682,1650,€/mes,flat,rent,90.0,2.0,1.0,Málaga,Málaga,Centro,es,Centro Histórico,36.719915,-4.424003,good,False,18.0,2,0.0,False
107761154,1900,€/mes,flat,rent,80.0,2.0,2.0,Málaga,Málaga,Martiricos - La Roca,es,Martiricos - La Roca,36.7298124,-4.4261488,good,False,24.0,27,1.0,True
107947796,1200,€/mes,flat,rent,60.0,3.0,1.0,Málaga,Málaga,Centro,es,El Molinillo - Capuchinos,36.7292357,-4.4249965,good,False,20.0,2,0.0,False
105898194,1000,€/mes,flat,rent,70.0,2.0,1.0,Málaga,Málaga,Este,es,El Palo,36.7160595,-4.3476946,good,False,14.0,bj,0.0,False
108002572,2400,€/mes,flat,rent,110.0,3.0,2.0,Málaga,Málaga,Carretera de Cádiz,es,La Luz,36.6982036,-4.4512115,good,False,22.0,10,1.0,True
108062986,1400,€/mes,duplex,rent,47.0,1.0,1.0,Málaga,Málaga,Bailén - Miraflores,es,Los Castillejos - La Trinidad,36.7220991,-4.4331337,good,False,30.0,3,0.0,True
108057267,1400,€/mes,flat,rent,82.0,2.0,1.0,Málaga,Málaga,Centro,es,Centro Histórico,36.7178196,-4.425557,good,False,17.0,3,1.0,True
105032161,1400,€/mes,flat,rent,127.0,3.0,2.0,Málaga,Málaga,Centro,es,La Trinidad,36.7275938,-4.4295206,good,False,11.0,1,1.0,False
108030966,1500,€/mes,flat,rent,130.0,3.0,2.0,Málaga,Málaga,Centro,es,Cristo de la Epidemia,36.7284198,-4.4128555,good,False,12.0,1,0.0,False
103020423,1450,€/mes,flat,rent,132.0,3.0,2.0,Málaga,Málaga,Teatinos,es,El Tejar - Hacienda Bizcochero,36.7180908,-4.4603369,good,False,11.0,5,1.0,True
107871118,1650,€/mes,flat,rent,116.0,3.0,2.0,Málaga,Málaga,Teatinos,es,El Consul - El Romeral,36.7243081,-4.4767722,good,False,14.0,2,1.0,True
108064411,1300,€/mes,penthouse,rent,102.0,2.0,1.0,Málaga,Málaga,Teatinos,es,El Consul - El Romeral,36.720475,-4.4715006,good,False,13.0,4,1.0,True
107661994,2000,€/mes,penthouse,rent,120.0,3.0,2.0,Málaga,Málaga,Puerto de la Torre,es,El Atabal,36.729257,-4.4615814,good,False,17.0,7,1.0,True
92718121,1300,€/mes,flat,rent,66.0,2.0,1.0,Málaga,Málaga,Centro,es,Centro Histórico,36.7218469,-4.4193986,good,False,20.0,1,1.0,False
97339523,1400,€/mes,flat,rent,95.0,3.0,1.0,Málaga,Málaga,Carretera de Cádiz,es,El Torcal,36.6992783,-4.4456439,good,False,15.0,4,1.0,True
105640840,2500,€/mes,flat,rent,190.0,4.0,2.0,Málaga,Málaga,Este,es,Cerrado de Calderón - Hacienda Paredes,36.7410941,-4.3781873,good,False,13.0,bj,1.0,True
